@cycle_counter=0 	HTRANS=IDLE 	HBURST=SINGLE 	HSIZE=Byte 	burst_length=x 	HWRITE=x 	HADDR=xxxxxxxx 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=x 	HRESP=OKAY 	data=xxxxxxxxxxxxxxxx 	data_buffer=xxxxxxxxxxxxxxxx 	@local_cycle_counter=0 
@cycle_counter=16 	HTRANS=SEQ 	HBURST=INCR4 	HSIZE=Word 	burst_length=4 	HWRITE=1 	HADDR=00000008 	HWDATA=0f0e0d0cxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxx13121110 	data_buffer=0f0e0d0cxxxxxxxx 	@local_cycle_counter=3 
@cycle_counter=17 	HTRANS=SEQ 	HBURST=INCR4 	HSIZE=Word 	burst_length=4 	HWRITE=1 	HADDR=0000000c 	HWDATA=xxxxxxxx13121110 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=1f1e1d1cxxxxxxxx 	data_buffer=xxxxxxxx13121110 	@local_cycle_counter=0 

@cycle_counter=18 	HTRANS=NONSEQ 	HBURST=INCR 	HSIZE=Word 	burst_length=23 	HWRITE=1 	HADDR=00000008 	HWDATA=1f1e1d1cxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxx03020100 	data_buffer=1f1e1d1cxxxxxxxx 	@local_cycle_counter=1 
@cycle_counter=19 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Word 	burst_length=23 	HWRITE=1 	HADDR=0000000c 	HWDATA=xxxxxxxx03020100 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=0f0e0d0cxxxxxxxx 	data_buffer=xxxxxxxx03020100 	@local_cycle_counter=2 
@cycle_counter=20 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Word 	burst_length=23 	HWRITE=1 	HADDR=00000010 	HWDATA=0f0e0d0cxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxx13121110 	data_buffer=0f0e0d0cxxxxxxxx 	@local_cycle_counter=3 
@cycle_counter=21 	HTRANS=BUSY 	HBURST=INCR 	HSIZE=Word 	burst_length=23 	HWRITE=1 	HADDR=00000014 	HWDATA=xxxxxxxx13121110 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=1f1e1d1cxxxxxxxx 	data_buffer=xxxxxxxx13121110 	@local_cycle_counter=4 
@cycle_counter=22 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Word 	burst_length=23 	HWRITE=1 	HADDR=00000014 	HWDATA=xxxxxxxx13121110 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=1f1e1d1cxxxxxxxx 	data_buffer=xxxxxxxx13121110 	@local_cycle_counter=4 
@cycle_counter=23 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Word 	burst_length=23 	HWRITE=1 	HADDR=00000018 	HWDATA=1f1e1d1cxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxx23222120 	data_buffer=1f1e1d1cxxxxxxxx 	@local_cycle_counter=5 
@cycle_counter=24 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Word 	burst_length=23 	HWRITE=1 	HADDR=0000001c 	HWDATA=xxxxxxxx23222120 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=2f2e2d2cxxxxxxxx 	data_buffer=xxxxxxxx23222120 	@local_cycle_counter=6 
@cycle_counter=25 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Word 	burst_length=23 	HWRITE=1 	HADDR=00000020 	HWDATA=2f2e2d2cxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxx33323130 	data_buffer=2f2e2d2cxxxxxxxx 	@local_cycle_counter=7 
@cycle_counter=26 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Word 	burst_length=23 	HWRITE=1 	HADDR=00000024 	HWDATA=xxxxxxxx33323130 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=3f3e3d3cxxxxxxxx 	data_buffer=xxxxxxxx33323130 	@local_cycle_counter=8 
@cycle_counter=27 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Word 	burst_length=23 	HWRITE=1 	HADDR=00000028 	HWDATA=3f3e3d3cxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxx43424140 	data_buffer=3f3e3d3cxxxxxxxx 	@local_cycle_counter=9 
@cycle_counter=28 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Word 	burst_length=23 	HWRITE=1 	HADDR=0000002c 	HWDATA=xxxxxxxx43424140 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=4f4e4d4cxxxxxxxx 	data_buffer=xxxxxxxx43424140 	@local_cycle_counter=10 
@cycle_counter=29 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Word 	burst_length=23 	HWRITE=1 	HADDR=00000030 	HWDATA=4f4e4d4cxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxx53525150 	data_buffer=4f4e4d4cxxxxxxxx 	@local_cycle_counter=11 
@cycle_counter=30 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Word 	burst_length=23 	HWRITE=1 	HADDR=00000034 	HWDATA=xxxxxxxx53525150 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=5f5e5d5cxxxxxxxx 	data_buffer=xxxxxxxx53525150 	@local_cycle_counter=12 
@cycle_counter=31 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Word 	burst_length=23 	HWRITE=1 	HADDR=00000038 	HWDATA=5f5e5d5cxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxx63626160 	data_buffer=5f5e5d5cxxxxxxxx 	@local_cycle_counter=13 
@cycle_counter=32 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Word 	burst_length=23 	HWRITE=1 	HADDR=0000003c 	HWDATA=xxxxxxxx63626160 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=6f6e6d6cxxxxxxxx 	data_buffer=xxxxxxxx63626160 	@local_cycle_counter=14 
@cycle_counter=33 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Word 	burst_length=23 	HWRITE=1 	HADDR=00000040 	HWDATA=6f6e6d6cxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxx73727170 	data_buffer=6f6e6d6cxxxxxxxx 	@local_cycle_counter=15 
@cycle_counter=34 	HTRANS=BUSY 	HBURST=INCR 	HSIZE=Word 	burst_length=23 	HWRITE=1 	HADDR=00000044 	HWDATA=xxxxxxxx73727170 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=7f7e7d7cxxxxxxxx 	data_buffer=xxxxxxxx73727170 	@local_cycle_counter=16 
@cycle_counter=35 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Word 	burst_length=23 	HWRITE=1 	HADDR=00000044 	HWDATA=xxxxxxxx73727170 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=7f7e7d7cxxxxxxxx 	data_buffer=xxxxxxxx73727170 	@local_cycle_counter=16 
@cycle_counter=36 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Word 	burst_length=23 	HWRITE=1 	HADDR=00000048 	HWDATA=7f7e7d7cxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxx83828180 	data_buffer=7f7e7d7cxxxxxxxx 	@local_cycle_counter=17 
@cycle_counter=37 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Word 	burst_length=23 	HWRITE=1 	HADDR=0000004c 	HWDATA=xxxxxxxx83828180 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=8f8e8d8cxxxxxxxx 	data_buffer=xxxxxxxx83828180 	@local_cycle_counter=18 
@cycle_counter=38 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Word 	burst_length=23 	HWRITE=1 	HADDR=00000050 	HWDATA=8f8e8d8cxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxx93929190 	data_buffer=8f8e8d8cxxxxxxxx 	@local_cycle_counter=19 
@cycle_counter=39 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Word 	burst_length=23 	HWRITE=1 	HADDR=00000054 	HWDATA=xxxxxxxx93929190 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=9f9e9d9cxxxxxxxx 	data_buffer=xxxxxxxx93929190 	@local_cycle_counter=20 
@cycle_counter=40 	HTRANS=BUSY 	HBURST=INCR 	HSIZE=Word 	burst_length=23 	HWRITE=1 	HADDR=00000058 	HWDATA=9f9e9d9cxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxxa3a2a1a0 	data_buffer=9f9e9d9cxxxxxxxx 	@local_cycle_counter=21 
@cycle_counter=41 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Word 	burst_length=23 	HWRITE=1 	HADDR=00000058 	HWDATA=9f9e9d9cxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxxa3a2a1a0 	data_buffer=9f9e9d9cxxxxxxxx 	@local_cycle_counter=21 
@cycle_counter=42 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Word 	burst_length=23 	HWRITE=1 	HADDR=0000005c 	HWDATA=xxxxxxxxa3a2a1a0 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=afaeadacxxxxxxxx 	data_buffer=xxxxxxxxa3a2a1a0 	@local_cycle_counter=22 
@cycle_counter=43 	HTRANS=SEQ 	HBURST=INCR 	HSIZE=Word 	burst_length=23 	HWRITE=1 	HADDR=00000060 	HWDATA=afaeadacxxxxxxxx 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=xxxxxxxxb3b2b1b0 	data_buffer=afaeadacxxxxxxxx 	@local_cycle_counter=0 

@cycle_counter=44 	HTRANS=NONSEQ 	HBURST=INCR8 	HSIZE=Doubleword 	burst_length=8 	HWRITE=0 	HADDR=00000007 	HWDATA=xxxxxxxxb3b2b1b0 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=07xxxxxxxxxxxxxx 	data_buffer=xxxxxxxxb3b2b1b0 	@local_cycle_counter=1 
@cycle_counter=45 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Doubleword 	burst_length=8 	HWRITE=0 	HADDR=00000008 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=07xxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=0f0e0d0c0b0a0908 	data_buffer=07xxxxxxxxxxxxxx 	@local_cycle_counter=2 
@cycle_counter=46 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Doubleword 	burst_length=8 	HWRITE=0 	HADDR=00000010 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=0706050403020100 	HREADY=1 	HRESP=OKAY 	data=1716151413121110 	data_buffer=0f0e0d0c0b0a0908 	@local_cycle_counter=3 
@cycle_counter=47 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Doubleword 	burst_length=8 	HWRITE=0 	HADDR=00000018 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=100f0e0d0c0b0a09 	HREADY=1 	HRESP=OKAY 	data=1f1e1d1c1b1a1918 	data_buffer=1716151413121110 	@local_cycle_counter=4 
@cycle_counter=48 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Doubleword 	burst_length=8 	HWRITE=0 	HADDR=00000020 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=1918171615141312 	HREADY=1 	HRESP=OKAY 	data=2726252423222120 	data_buffer=1f1e1d1c1b1a1918 	@local_cycle_counter=5 
@cycle_counter=49 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Doubleword 	burst_length=8 	HWRITE=0 	HADDR=00000028 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=2221201f1e1d1c1b 	HREADY=1 	HRESP=OKAY 	data=2f2e2d2c2b2a2928 	data_buffer=2726252423222120 	@local_cycle_counter=6 
@cycle_counter=50 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Doubleword 	burst_length=8 	HWRITE=0 	HADDR=00000030 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=2b2a292827262524 	HREADY=1 	HRESP=OKAY 	data=3736353433323130 	data_buffer=2f2e2d2c2b2a2928 	@local_cycle_counter=7 
@cycle_counter=51 	HTRANS=SEQ 	HBURST=INCR8 	HSIZE=Doubleword 	burst_length=8 	HWRITE=0 	HADDR=00000038 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=34333231302f2e2d 	HREADY=1 	HRESP=OKAY 	data=3f3e3d3c3b3a3938 	data_buffer=3736353433323130 	@local_cycle_counter=0 

@cycle_counter=52 	HTRANS=NONSEQ 	HBURST=INCR16 	HSIZE=Doubleword 	burst_length=16 	HWRITE=1 	HADDR=00000008 	HWDATA=xxxxxxxxxxxxxxxx 	HRDATA=3d3c3b3a39383736 	HREADY=1 	HRESP=OKAY 	data=0706050403020100 	data_buffer=3f3e3d3c3b3a3938 	@local_cycle_counter=1 
@cycle_counter=53 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Doubleword 	burst_length=16 	HWRITE=1 	HADDR=00000010 	HWDATA=0706050403020100 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=0f0e0d0c0b0a0908 	data_buffer=0706050403020100 	@local_cycle_counter=2 
@cycle_counter=54 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Doubleword 	burst_length=16 	HWRITE=1 	HADDR=00000018 	HWDATA=0f0e0d0c0b0a0908 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=1716151413121110 	data_buffer=0f0e0d0c0b0a0908 	@local_cycle_counter=3 
@cycle_counter=55 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Doubleword 	burst_length=16 	HWRITE=1 	HADDR=00000020 	HWDATA=1716151413121110 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=1f1e1d1c1b1a1918 	data_buffer=1716151413121110 	@local_cycle_counter=4 
@cycle_counter=56 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Doubleword 	burst_length=16 	HWRITE=1 	HADDR=00000028 	HWDATA=1f1e1d1c1b1a1918 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=2726252423222120 	data_buffer=1f1e1d1c1b1a1918 	@local_cycle_counter=5 
@cycle_counter=57 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Doubleword 	burst_length=16 	HWRITE=1 	HADDR=00000030 	HWDATA=2726252423222120 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=2f2e2d2c2b2a2928 	data_buffer=2726252423222120 	@local_cycle_counter=6 
@cycle_counter=58 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Doubleword 	burst_length=16 	HWRITE=1 	HADDR=00000038 	HWDATA=2f2e2d2c2b2a2928 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=3736353433323130 	data_buffer=2f2e2d2c2b2a2928 	@local_cycle_counter=7 
@cycle_counter=59 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Doubleword 	burst_length=16 	HWRITE=1 	HADDR=00000040 	HWDATA=3736353433323130 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=3f3e3d3c3b3a3938 	data_buffer=3736353433323130 	@local_cycle_counter=8 
@cycle_counter=60 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Doubleword 	burst_length=16 	HWRITE=1 	HADDR=00000048 	HWDATA=3f3e3d3c3b3a3938 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=4746454443424140 	data_buffer=3f3e3d3c3b3a3938 	@local_cycle_counter=9 
@cycle_counter=61 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Doubleword 	burst_length=16 	HWRITE=1 	HADDR=00000050 	HWDATA=4746454443424140 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=4f4e4d4c4b4a4948 	data_buffer=4746454443424140 	@local_cycle_counter=10 
@cycle_counter=62 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Doubleword 	burst_length=16 	HWRITE=1 	HADDR=00000058 	HWDATA=4f4e4d4c4b4a4948 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=5756555453525150 	data_buffer=4f4e4d4c4b4a4948 	@local_cycle_counter=11 
@cycle_counter=63 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Doubleword 	burst_length=16 	HWRITE=1 	HADDR=00000060 	HWDATA=5756555453525150 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=5f5e5d5c5b5a5958 	data_buffer=5756555453525150 	@local_cycle_counter=12 
@cycle_counter=64 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Doubleword 	burst_length=16 	HWRITE=1 	HADDR=00000068 	HWDATA=5f5e5d5c5b5a5958 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=6766656463626160 	data_buffer=5f5e5d5c5b5a5958 	@local_cycle_counter=13 
@cycle_counter=65 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Doubleword 	burst_length=16 	HWRITE=1 	HADDR=00000070 	HWDATA=6766656463626160 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=6f6e6d6c6b6a6968 	data_buffer=6766656463626160 	@local_cycle_counter=14 
@cycle_counter=66 	HTRANS=SEQ 	HBURST=INCR16 	HSIZE=Doubleword 	burst_length=16 	HWRITE=1 	HADDR=00000078 	HWDATA=6f6e6d6c6b6a6968 	HRDATA=xxxxxxxxxxxxxxxx 	HREADY=1 	HRESP=OKAY 	data=7776757473727170 	data_buffer=6f6e6d6c6b6a6968 	@local_cycle_counter=15 
